id,date,merchant,category,amount
573,2025-08-14,Market,Groceries,-193.57
574,2025-07-21,Friends Cafe,Subscriptions,-195.48
575,2025-08-16,Spotify,Food & Drink,-62.61
576,2025-07-29,Spotify,Other,-190.04
577,2025-07-16,Safeway,Subscriptions,-44.18
578,2025-06-07,Market,Groceries,-76.37
579,2025-10-24,Uber,Transportation,-81.64
580,2025-08-24,Netflix,Other,-120.91
581,2025-08-06,Friends Cafe,Food & Drink,-151.79
582,2025-09-20,Spotify,Utilities,-115.84
583,2025-11-04,Friends Cafe,Income,3172.07
584,2025-05-19,Safeway,Utilities,-46.16
585,2025-05-15,Costco,Groceries,-173.68
586,2025-05-19,Lyft,Food & Drink,-125.62
587,2025-06-19,CoffeeHouse,Income,1577.79
588,2025-11-08,Safeway,Groceries,-120.07
589,2025-11-07,Uber,Transportation,-12.53
590,2025-05-18,PowerCo,Subscriptions,-132.96
591,2025-11-07,CoffeeHouse,Food & Drink,-135.14
592,2025-07-02,Safeway,Entertainment,-115.84
593,2025-10-07,Costco,Groceries,-49.12
594,2025-08-30,Brew Bros,Utilities,-142.26
595,2025-05-24,Friends Cafe,Food & Drink,-79.71
596,2025-07-22,CoffeeHouse,Subscriptions,-72.93
597,2025-07-25,Uber,Income,1380.16
598,2025-07-31,MusicBox,Food & Drink,-16.24
599,2025-07-19,PG&E,Other,-139.23
600,2025-07-26,Netflix,Subscriptions,-15.75
601,2025-10-14,Lyft,Food & Drink,-93.39
602,2025-10-12,Lyft,Food & Drink,-191.17
603,2025-10-24,Costco,Utilities,-28.99
604,2025-08-05,PowerCo,Food & Drink,-74.3
605,2025-07-21,Uber,Income,3645.17
606,2025-06-16,PowerCo,Food & Drink,-75.16
607,2025-06-15,Netflix,Income,1959.96
608,2025-08-28,PG&E,Income,1531.1
609,2025-06-22,Market,Rent,-143.52
610,2025-05-18,Lyft,Entertainment,-50.12
611,2025-07-10,Lyft,Transportation,-150.78
612,2025-05-14,Uber,Entertainment,-64.46
613,2025-10-22,Brew Bros,Transportation,-199.41
614,2025-10-17,Lyft,Transportation,-146.7
615,2025-08-02,CoffeeHouse,Food & Drink,-62.21
616,2025-08-31,PG&E,Food & Drink,-52.6
617,2025-10-15,Costco,Other,-101.97
618,2025-10-02,Costco,Food & Drink,-155.84
619,2025-10-27,Spotify,Food & Drink,-47.19
620,2025-05-12,Spotify,Food & Drink,-36.95
621,2025-08-13,Spotify,Utilities,-39.21
622,2025-07-25,Costco,Groceries,-94.46
623,2025-06-01,Spotify,Subscriptions,-30.58
624,2025-08-31,Spotify,Food & Drink,-74.62
625,2025-06-16,Brew Bros,Food & Drink,-101.24
626,2025-10-18,PG&E,Food & Drink,-197.07
627,2025-08-29,PowerCo,Subscriptions,-133.14
628,2025-07-21,MusicBox,Income,1518.27
629,2025-11-03,Lyft,Rent,-21.86
630,2025-09-27,MusicBox,Rent,-165.79
631,2025-09-04,PowerCo,Food & Drink,-103.74
632,2025-07-27,MusicBox,Food & Drink,-87.33
633,2025-08-25,MusicBox,Utilities,-160.66
634,2025-11-04,PowerCo,Transportation,-110.7
635,2025-09-26,Friends Cafe,Transportation,-199.28
636,2025-08-07,Brew Bros,Rent,-114.12
637,2025-05-25,Friends Cafe,Rent,-39.87
638,2025-06-24,Lyft,Entertainment,-150.11
639,2025-10-30,Brew Bros,Entertainment,-6.22
640,2025-07-21,Market,Utilities,-99.8
641,2025-06-26,Brew Bros,Rent,-197.57
642,2025-08-18,Market,Entertainment,-20.34
643,2025-07-03,Friends Cafe,Transportation,-115.18
644,2025-07-05,Uber,Subscriptions,-139.1
645,2025-05-27,Lyft,Utilities,-119.48
646,2025-08-11,Market,Food & Drink,-180.56
647,2025-07-25,Brew Bros,Food & Drink,-120.38
648,2025-09-25,MusicBox,Food & Drink,-68.49
649,2025-10-24,Friends Cafe,Rent,-11.94
650,2025-10-29,PG&E,Transportation,-168.77
651,2025-10-12,Uber,Income,2138.71
652,2025-10-30,Spotify,Subscriptions,-75.57
653,2025-08-04,Brew Bros,Food & Drink,-170.26
654,2025-05-13,Brew Bros,Other,-45.22
655,2025-09-12,CoffeeHouse,Utilities,-53.3
656,2025-05-20,PowerCo,Food & Drink,-73.2
657,2025-10-26,Safeway,Groceries,-113.42
658,2025-09-01,MusicBox,Rent,-103.67
659,2025-07-28,Market,Subscriptions,-71.96
660,2025-08-14,Costco,Groceries,-16.49
661,2025-07-28,Costco,Food & Drink,-189.76
662,2025-06-03,PG&E,Rent,-22.25
663,2025-09-04,Lyft,Transportation,-14.34
664,2025-10-10,Market,Groceries,-16.47
665,2025-08-05,Netflix,Income,1455.84
666,2025-08-28,CoffeeHouse,Rent,-99.82
667,2025-08-12,Market,Groceries,-192.29
668,2025-06-22,Spotify,Subscriptions,-135.88
669,2025-07-22,PowerCo,Food & Drink,-196.53
670,2025-10-04,Spotify,Food & Drink,-34.87
671,2025-07-15,Netflix,Subscriptions,-58.71
672,2025-10-03,Netflix,Food & Drink,-75.15
673,2025-06-25,Safeway,Rent,-128.31
674,2025-06-12,Brew Bros,Rent,-188.47
675,2025-07-16,Safeway,Subscriptions,-164.22
676,2025-08-31,Friends Cafe,Transportation,-158.35
677,2025-08-24,Costco,Groceries,-149.98
678,2025-05-26,Brew Bros,Entertainment,-50.15
679,2025-10-07,Market,Utilities,-51.4
680,2025-07-05,Friends Cafe,Income,3002.78
681,2025-08-30,PG&E,Food & Drink,-90.77
682,2025-11-08,Costco,Groceries,-70.85
683,2025-08-02,MusicBox,Entertainment,-58.17
684,2025-08-29,Market,Groceries,-58.24
685,2025-06-26,Netflix,Rent,-120.58
686,2025-10-18,Netflix,Utilities,-73.02
687,2025-08-12,PowerCo,Rent,-42.64
688,2025-10-29,Safeway,Food & Drink,-21.5
689,2025-06-07,Market,Groceries,-186.08
690,2025-08-31,Lyft,Food & Drink,-21.96
691,2025-08-16,Brew Bros,Transportation,-55.78
692,2025-11-02,MusicBox,Rent,-188.94
693,2025-08-06,Safeway,Groceries,-97.63
694,2025-09-06,Friends Cafe,Food & Drink,-186.21
695,2025-07-22,Uber,Other,-145.45
696,2025-06-14,Netflix,Income,1699.05
697,2025-07-20,Netflix,Income,3334.31
698,2025-09-02,Netflix,Rent,-138.75
699,2025-06-10,Costco,Income,996.85
700,2025-08-06,Netflix,Rent,-111.71
701,2025-06-30,Costco,Groceries,-80.26
702,2025-05-31,Market,Utilities,-150.11
703,2025-08-24,Lyft,Other,-98.04
704,2025-05-16,Brew Bros,Income,1471.26
705,2025-05-28,CoffeeHouse,Income,2523.67
706,2025-10-29,Costco,Food & Drink,-92.89
707,2025-10-23,Market,Transportation,-58.59
708,2025-08-13,Costco,Groceries,-55.74
709,2025-05-23,PowerCo,Subscriptions,-65.21
710,2025-09-07,Costco,Groceries,-71.35
711,2025-06-01,MusicBox,Income,3256.37
712,2025-09-01,CoffeeHouse,Subscriptions,-37.59
713,2025-07-21,Market,Groceries,-95.65
714,2025-09-06,Brew Bros,Utilities,-54.91
715,2025-08-18,Uber,Transportation,-26.55
716,2025-05-16,Costco,Transportation,-21.96
717,2025-07-23,PowerCo,Food & Drink,-78.96
718,2025-07-10,Costco,Groceries,-180.47
719,2025-10-16,PowerCo,Food & Drink,-130.59
720,2025-05-21,Spotify,Rent,-108.63
721,2025-09-26,PowerCo,Rent,-48.77
722,2025-10-26,PowerCo,Other,-150.5
723,2025-10-07,MusicBox,Other,-153.48
724,2025-10-31,MusicBox,Subscriptions,-174.21
725,2025-10-01,Brew Bros,Other,-147.0
726,2025-05-22,Costco,Groceries,-168.14
727,2025-06-10,Spotify,Transportation,-148.38
728,2025-05-25,Friends Cafe,Rent,-98.5
729,2025-06-14,CoffeeHouse,Subscriptions,-53.72
730,2025-09-10,PG&E,Food & Drink,-50.53
731,2025-09-01,Friends Cafe,Rent,-65.36
732,2025-06-27,PowerCo,Transportation,-105.57
733,2025-09-25,Safeway,Groceries,-144.34
734,2025-08-04,PG&E,Subscriptions,-32.14
735,2025-07-20,MusicBox,Rent,-24.5
736,2025-08-09,Safeway,Entertainment,-140.42
737,2025-07-13,Lyft,Rent,-34.86
738,2025-09-14,Safeway,Groceries,-187.35
739,2025-10-28,Safeway,Other,-165.2
740,2025-10-17,Lyft,Other,-60.23
741,2025-07-19,Friends Cafe,Income,1413.79
742,2025-09-07,PG&E,Rent,-96.86
743,2025-07-08,Uber,Rent,-15.45
744,2025-08-17,CoffeeHouse,Food & Drink,-130.32
745,2025-10-02,Uber,Food & Drink,-11.87
746,2025-09-20,Spotify,Utilities,-7.86
747,2025-05-25,Uber,Rent,-109.25
748,2025-10-08,Brew Bros,Transportation,-122.91
749,2025-07-10,Spotify,Rent,-105.95
750,2025-09-14,Friends Cafe,Other,-38.58
751,2025-05-17,Safeway,Rent,-29.48
752,2025-09-25,Brew Bros,Utilities,-133.71
753,2025-06-04,Lyft,Utilities,-148.78
754,2025-10-04,Uber,Food & Drink,-151.34
755,2025-10-16,MusicBox,Rent,-56.94
756,2025-10-26,Friends Cafe,Income,989.7
757,2025-08-07,Costco,Subscriptions,-64.5
758,2025-10-13,Market,Groceries,-104.72
759,2025-09-29,Costco,Food & Drink,-42.45
760,2025-07-07,CoffeeHouse,Other,-78.5
761,2025-09-16,PowerCo,Other,-54.0
762,2025-10-27,PowerCo,Food & Drink,-186.6
763,2025-07-22,Safeway,Utilities,-50.39
764,2025-08-17,Netflix,Utilities,-104.99
765,2025-09-15,MusicBox,Food & Drink,-32.3
766,2025-10-10,PowerCo,Rent,-110.56
767,2025-09-25,MusicBox,Income,2074.04
768,2025-05-27,Market,Income,3322.01
769,2025-07-06,Spotify,Subscriptions,-55.08
770,2025-09-07,Netflix,Transportation,-129.21
771,2025-07-01,PowerCo,Other,-18.25
772,2025-08-02,CoffeeHouse,Food & Drink,-24.91
773,2025-06-11,Uber,Food & Drink,-25.08
774,2025-07-27,Safeway,Income,3858.2
775,2025-09-18,Costco,Groceries,-73.72
776,2025-05-28,Lyft,Food & Drink,-136.55
777,2025-10-31,Lyft,Food & Drink,-145.08
778,2025-10-24,Brew Bros,Rent,-98.33
779,2025-08-11,Safeway,Groceries,-171.18
780,2025-08-16,Costco,Entertainment,-23.47
781,2025-11-04,Lyft,Transportation,-134.44
782,2025-09-21,Spotify,Subscriptions,-76.07
783,2025-07-18,Spotify,Rent,-166.21
784,2025-06-09,Uber,Subscriptions,-113.64
785,2025-06-14,Lyft,Other,-114.73
786,2025-07-19,Costco,Entertainment,-186.51
787,2025-11-07,Market,Rent,-112.95
788,2025-08-23,Safeway,Groceries,-107.38
789,2025-11-06,Safeway,Food & Drink,-49.91
790,2025-06-28,PowerCo,Rent,-97.14
791,2025-09-06,Safeway,Groceries,-170.24
792,2025-08-22,Lyft,Food & Drink,-180.15
793,2025-08-24,Costco,Entertainment,-120.03
794,2025-10-31,Market,Income,1713.11
795,2025-10-15,Friends Cafe,Entertainment,-199.92
796,2025-10-16,Safeway,Groceries,-19.36
797,2025-07-12,Safeway,Groceries,-100.6
798,2025-06-26,Costco,Groceries,-18.44
799,2025-09-29,Spotify,Income,1038.0
800,2025-09-15,Spotify,Transportation,-7.53
